"","Rank","Name","Platform","Year","Genre","NA_Sales","Global_Sales"
"40",40,"Super Smash Bros. Brawl","Wii",2008,"Fighting",6.75,13.04
"41",41,"Call of Duty: Black Ops","PS3",2010,"Shooter",5.98,12.73
"42",42,"Animal Crossing: Wild World","DS",2005,"Simulation",2.55,12.27
"43",43,"Mario Kart 7","3DS",2011,"Racing",4.74,12.21
"44",44,"Halo 3","X360",2007,"Shooter",7.97,12.14
"45",45,"Grand Theft Auto V","PS4",2014,"Action",3.8,11.98
"46",46,"Pokemon HeartGold/Pokemon SoulSilver","DS",2009,"Action",4.4,11.9
"47",47,"Super Mario 64","N64",1996,"Platform",6.91,11.89
"48",48,"Gran Turismo 4","PS2",2004,"Racing",3.01,11.66
"49",49,"Super Mario Galaxy","Wii",2007,"Platform",6.16,11.52
"50",50,"Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS",2014,"Role-Playing",4.23,11.33
"51",51,"Super Mario Land 2: 6 Golden Coins","GB",1992,"Adventure",6.16,11.18
"52",52,"Grand Theft Auto IV","X360",2008,"Action",6.76,11.02
"53",53,"Gran Turismo","PS",1997,"Racing",4.02,10.95
"54",54,"Super Mario 3D Land","3DS",2011,"Platform",4.89,10.79
"55",55,"Gran Turismo 5","PS3",2010,"Racing",2.96,10.77
"56",56,"Call of Duty: Modern Warfare 2","PS3",2009,"Shooter",4.99,10.69
"57",57,"Grand Theft Auto IV","PS3",2008,"Action",4.76,10.57
"58",58,"Super Mario All-Stars","SNES",1993,"Platform",5.99,10.55
"59",59,"Pokemon FireRed/Pokemon LeafGreen","GBA",2004,"Role-Playing",4.34,10.49
"60",60,"Super Mario 64","DS",2004,"Platform",5.08,10.42
"61",61,"Just Dance 3","Wii",2011,"Misc",6.05,10.26
"62",62,"Call of Duty: Ghosts","X360",2013,"Shooter",6.72,10.21
"63",63,"Halo: Reach","X360",2010,"Shooter",7.03,9.88
"64",64,"Mario Kart 64","N64",1996,"Racing",5.55,9.87
"65",65,"New Super Mario Bros. 2","3DS",2012,"Platform",3.66,9.82
"66",66,"Halo 4","X360",2012,"Shooter",6.63,9.76
"67",67,"Final Fantasy VII","PS",1997,"Role-Playing",3.01,9.72
"68",68,"Call of Duty: Ghosts","PS3",2013,"Shooter",4.09,9.59
"69",69,"Just Dance 2","Wii",2010,"Misc",5.84,9.52
"70",70,"Gran Turismo 2","PS",1999,"Racing",3.88,9.49
"71",71,"Call of Duty 4: Modern Warfare","X360",2007,"Shooter",5.91,9.32
"72",72,"Donkey Kong Country","SNES",1994,"Platform",4.36,9.3
"73",73,"Minecraft","X360",2013,"Misc",5.58,9.2
"74",74,"Animal Crossing: New Leaf","3DS",2012,"Simulation",2.01,9.09
"75",75,"Mario Party DS","DS",2007,"Misc",4.46,9.02
